author,anomaly_score_iforest,anomaly_score_lof
Dušan Štekl,0.07154029603081691,1.019053
Filip Šťastný,0.07150583296898627,1.0605476
Kamil Novotný,0.07134313119580049,1.0537593
Libor Stražický,0.07127616376851575,1.3293798
Marek Nemcek,0.0712377303096553,1.0116724
Viktor Malý,0.07116266490023182,1.0811979
Jaroslav Kroutil,0.07087705766274066,1.0610132
Jaroslav Kudyn,0.070866317160311,1.044207
Oldrich Paták,0.07012042059611079,1.1603191
Václav Dobeš,0.06992671840043374,1.0911226
Jan Molnár,0.06945569051075284,1.10802
Kateřina Košová,0.06889529294721763,1.0549026
Miroslav Rýdl,0.06877384781112661,1.054551
Patrik Dux,0.06867410547744834,1.0400298
Petr Šturma,0.06858368354898647,1.1443195
Anežka Králová,0.06846399844803042,1.0116262
Michal Krivanek,0.06833941691630885,1.0255196
Angel Bratovanov,0.0679560012583148,1.1205381
Blanka Richtr,0.06788150222342593,1.0549749
Šárka Burešová,0.06783017033931693,1.0608599
Artur Bohdan,0.06721904669297041,1.2240937
Čestmír Berka,0.06675422150563581,1.2196738
Václav Kozak,0.06669073019992044,1.0938017
Martin Horsky,0.0662783746858735,1.0078709
Jana Labudíková,0.06622775168034956,1.051613
Jiří Smrček,0.06610314690946872,1.0256976
Martin Pinďák,0.06606883031534871,1.046709
Jan Švejda,0.06594546587125583,1.0064803
Jiří Nový,0.06584932376249975,1.0069733
Radek Patera,0.06529073159086651,0.9984703
Martin Němec,0.06524962439069448,1.0526068
Robert Bártek,0.06515209628510565,1.0384977
Daniel Charvát,0.06504666617384103,1.1469405
Filip Zejda,0.06486772618432535,1.1799017
Ladislav Prusenovský,0.06484375222640937,1.1363848
Petr Watzke,0.06474665822249426,1.1081269
Petr Šáda,0.06461782938994698,1.0664064
Petr Pudil,0.06460517779108144,1.022107
Michal Milos,0.06440810109367523,1.0021845
Pavel Cvrk,0.06423794101893432,1.1541163
Ivana Kudrnová,0.06403870083364205,1.4406526
Roman Sindler,0.06403112282213386,1.0294983
Vaclav Matej,0.06371658879274744,1.008515
Jaroslav Čížek,0.0635116216587065,1.0835035
Daniela Sitaiova,0.06334167837647542,1.0173111
Vladimir,0.06317577108926076,1.188991
Pavel Šiška,0.06301632087459808,1.116853
Petr Kouba,0.06299614987039659,1.1701235
Ivan Březina,0.06293587247144794,1.1573738
Josef Špinar,0.06283521221376276,1.2146119
Jindřich Hadámek,0.06263699609639628,1.1004077
Josef Svihla,0.06263342055391397,1.3378254
Antonín Čermák,0.062488824372027185,1.036771
Vladimír Tichý,0.06226870965918696,1.0418581
Oldřich Lapčík,0.06215019569870228,1.1677648
Nikola Med,0.062097852719708024,1.0937409
Jan Motl,0.062010927475990574,1.0150913
Jan Ráž,0.06200440775399585,1.1626177
Kateřina Niklová,0.061943335557362866,1.0636275
Luboš Kohoutek,0.061895192351350214,1.0674828
Vladimir Blaha,0.061415028742959565,1.0162171
Richard Maršál,0.06120163471563678,1.0867426
Jiří Kšána,0.060732958902367185,1.0962678
Josef Radocha,0.060645204715374046,1.1053445
Mariana Kulíšková,0.06043652867812288,1.035813
