author,anomaly_score_iforest,anomaly_score_lof
Miloš Horák,0.007161589196737761,1.288874
Jiri Jezek,0.004322534677236589,1.2882109
Marketa Kolíbalová,-0.028442845112669368,1.2877858
Stanislav Chládek,-0.026906144069560045,1.286444
Jaroslav Ther,-0.036362158254062305,1.2859929
Oldřich Slezák,0.05053407958908518,1.2856073
Monika Karasová,0.014464492107090776,1.2854893
Pavel Filip,-0.0410067736555742,1.285198
Roman Grega,-0.03312435733514146,1.2850258
Josef Kameníček,0.09063409399321565,1.284497
Pavol Keves,0.03547466136586652,1.2827847
Pavel Kacik,-0.020383466034490483,1.2824607
Josef Tichy,-0.016454966078576105,1.2821432
Pavel Michera,-0.009688975339283479,1.2817585
Jiří Kropáček,-0.057676817684642,1.2817469
Zbynek Rejfek,0.04205031680458016,1.2807522
Jaroslav Linhart,-0.0474608903898569,1.2801268
Michal Tománek,-0.05422567328390676,1.2790213
Pavel Simak,-0.011408389389049756,1.2787662
Richard Kováč,0.007839347914136152,1.2786772
Milos Nelz,-0.033673754217495355,1.2779286
Petr Huza,0.044357694517410895,1.2777622
Zbynek Nitka,-0.04633963187292772,1.2775344
Ivan Blažek,0.005490781647704057,1.2773829
Pavel Tvrdík,-0.0019114810495762802,1.2769682
Ivana Mrkvová,0.04965824195581514,1.2769195
Jaromír Krejcar,-0.05828670897580551,1.276557
Jan Elznic,0.020206202354105918,1.276066
Lída Karafiát,0.02462000434256284,1.2749312
Miloslav Fohl,0.11197284406236063,1.2748449
Jaroslav Illetško,0.07231387563846592,1.274167
Josef Stastny,-0.038501080334026605,1.2737955
Artur Kopac,0.08916275687154251,1.2721564
Horacho Matuš,-0.02481689729432407,1.2720718
Ján Pankovič,-0.042212146837230013,1.2720454
Pepa Maly,0.037490769817215885,1.2714875
Jiří Rýgl,-0.04766812370401857,1.2714057
Eva Dohnalová,-0.0009520267435340624,1.2713733
Jiří Babka,0.10117198273184413,1.2707492
Pavel Konvalina,0.14647985141310815,1.2703092
Jan Runda,0.09683074669088365,1.2698736
Nikolas Šesták,-0.007174415117870203,1.2697023
Bobrovnik Pavel,-0.015614791223483637,1.2694056
Vladimír Kratochvíl,-0.010298983549857421,1.2692363
Lenka Havlickova,-0.028984517870268012,1.2692021
Zdeněk Bubeník,-0.03233526925621638,1.2688444
Jindřich Hőfler,-0.02173752351193764,1.268501
Emil Štoudek,0.006428689695233858,1.2682178
Lukas Cekovsky,0.07959930837908691,1.2681649
Dana Nováková,-0.018658946999193238,1.2677475
Tomík Halin,-0.05725869358200569,1.2675315
Pavla Machejova,-0.011266614580612844,1.2675039
Petr Pokorný,-0.012453502584796938,1.2673739
Felix Prochazka,-0.0012056941911008368,1.2672083
Miroslav Kanár,-0.04052904690181508,1.2671788
Libor Ducháč,-0.021222140452603955,1.2664039
Drahomir Hron,-0.01769761058820568,1.2655845
Karel Kačer,-0.0241882999701043,1.2654264
Lukáš Bachan,-0.03450478491533915,1.2651011
Jerkan Petr,-0.04694196597461081,1.2639037
Kasparova Liduska,0.0008231594086410277,1.2635354
Tonda Přibyl,-0.021175373515859464,1.2634947
Štefan Šipoš,0.09540736688693219,1.2629813
Jan Vlk,0.005696536867575319,1.2624567
Andrea Seibertová,0.04166271265699717,1.2623136
Jan Bilíček,0.016362619624221586,1.26224
David Dvořák,-0.024637305559856548,1.2616841
Herbert Pesch,-0.04541000407637141,1.2616682
Milan Meravy,0.03440727393802212,1.2610186
Zdeněk Prošek,-0.0027913196507635685,1.2607253
Monika Novotná,-0.004709425606108042,1.2607176
Majka Svobodová,0.0950039271973866,1.2602379
Martin Vícha,-0.020384016133700722,1.2601678
Čestmír Věrný,0.11684395423223737,1.2589414
Vladimír Kroupa,0.05952973165256625,1.2584393
Franta Majer,-0.04401820110881366,1.2582476
Vlasta Pustějovská,-0.04368356724008343,1.2578673
Jiri Lacina,-0.024311286764314044,1.2576698
Jiří Stibůrek,0.07586281862246558,1.2569662
Pavel Šulista,-0.02331831595887418,1.2569144
Jiří Šafařík,-0.009478690662915068,1.256519
Adam Berger,-0.05404803425724625,1.2561805
Radek Hyhlan,0.016625026167711943,1.255183
Jozef Uhrák,0.00857186202816046,1.2549906
Jiří Roháč,0.07995797845031472,1.2547839
Roman Juricka,0.02819868698027206,1.2544569
Petr Duchek,0.0585979588573895,1.2544041
Jana Zralíková,-0.04169757733175966,1.2534201
Peter Merk,-0.006368475779047145,1.2531458
Vaclav Balogh,0.03451756948547735,1.2525913
Danislav Jancuska,0.11225556507018053,1.2524121
Meda Frosterova,-0.03827682043181585,1.2506998
Martin Ženatý,-0.02777499293559521,1.250324
Vilém Novotný,-0.03511268619542085,1.2501163
Vaclav Čamek,-0.019335624762069348,1.249771
Zdeněk Bělík,-0.03203856053721482,1.24938
Jaroslav Fiala,-0.03421792140540292,1.2492044
Mirek Dusik,0.03459597800426306,1.2490236
Michal Zedník,-0.01967691135671923,1.2490215
Miroslav Perutka,-0.06588277566250078,1.2489424
Radim Ševčík,-0.019453321948880165,1.2477335
Jiří Hladík,0.11480933495144541,1.2472942
Kupová Renata,-0.016855380241867113,1.2471972
Petr Mojžíš,-0.029202663524769357,1.2471061
Martin Fröhlich,-0.03566764896057245,1.2450466
Milan Kaderabek,0.04037925573655876,1.2449512
Emil Dobrý,-0.04534728263262183,1.2445728
Vlastimil Jandák,0.0076362478176290605,1.244178
Vlastimil Kotera,0.04688542183359756,1.2440256
Josef Kalim,-0.03883811139266269,1.2436708
Daniel Kosik,0.07620050286199231,1.2435563
Frantisek Janoš,-0.03912975527721502,1.2435457
Milan Činka,0.004654972709917993,1.2435306
Michal Kortus,0.022786382327857346,1.2433462
Imrich Dantsits,0.01977318476007195,1.243003
Josef Krupa,-0.01031306436865631,1.2422721
Josef Hrubý,0.05616483368639602,1.2419398
Jiri Charousek,0.009981951371013653,1.241728
Jirka Knoll,-0.037044048935466756,1.2415749
Lukáš Jirásek,-0.048928068840837224,1.241358
Zdeněk Zapletal,0.10211099175045979,1.2412179
Jana Zdrazilova,-0.021055089073234,1.2410302
Mensik Endal,0.017219687558072516,1.240882
Imrich Vaňo,-0.03225561115848852,1.2406938
Vlasta Bělovová,0.01748340910007473,1.2396317
Lenka Vitkova,0.08611176278505595,1.2395704
Patrik Lopusek,0.038745742172032416,1.2395122
Michal Luhan,-0.031263464768737925,1.2390573
Marek Tomas,0.13172369987618338,1.2387775
Miloš Rybář,-0.055774401458657474,1.2387148
Eduard Schmied,-0.044635363855814514,1.238672
Milan Stanek,-0.05180456249627663,1.2384506
Petr Joter,0.037100870275857956,1.2382088
Miroslav Paus,-0.03935170839930496,1.237683
Jiří Toroň,-0.030224423620329843,1.2375696
Zbyněk Zlámal,-0.043228730923738024,1.2375505
Evžen Voskobojnyk,-0.04317596590101269,1.2373092
Karel Martinec,0.018900712833094302,1.2371486
Stanislav Hirt,0.03155095839219557,1.2370548
Pavel Studenský,0.10319391000789213,1.2370012
Pavel Sázavský,0.057243575383308265,1.2367057
Imrich Sikora,0.013220105990572162,1.2363588
Klára Zimákova,0.013248397282561775,1.23546
Veronika Samková,-0.04001728014680345,1.2352815
Ivana Kakrdová,-0.01433991423211417,1.235245
Eliška Janalíková,-0.03938514779136809,1.2347656
Sebastian Martinec,-0.03681210486795844,1.2344825
Petr Hrabák,-0.021635510532558966,1.234453
Martin Vomáčka,-0.029223632849987247,1.2339926
Stanislav Novák,-0.07334799062198089,1.2339882
Martin Neugebauer,0.007653643627799134,1.2336583
Alexandr Řehořek,-0.04444645400145436,1.2336578
Štefan Valentovič,0.09550197477360367,1.2331045
Jaroslav Verecky,0.01849232627840325,1.23259
Jiří Pelka,0.04908846183015869,1.2322068
Vladimír Línek,-0.032542705002625294,1.2321818
Karel Jindra,-0.044520623989302066,1.2313511
Pavel Jachan,-0.06800094026406134,1.2312433
Kristian Vágner,0.048869668070827155,1.2306869
Jaroslav Podešva,-0.03663594000488446,1.2304844
Jan Matlak,-0.010025722801378312,1.2302668
Lenka Pasterková,-0.011050681357029801,1.2301624
Zdena Nevečeřalová,-0.029961767109488113,1.2300937
Radek Mackal,-0.008330855824018324,1.2299125
Jan Dodel,-0.017547937310772366,1.229888
Luboš Novák,-0.020742645956241035,1.229426
Jindřich Čipera,-0.037556242089903547,1.2289237
Jan Buček,0.033638092158271404,1.2288538
Jarka Prokopová,-0.03472584439275145,1.22881
Antonín Jakubík,0.01342115750040962,1.2284224
Ondřej Rutosh,-0.035017043056915664,1.2284129
Miroslav Němčík,-0.0015162789321192527,1.22835
Jiří Jurča,-0.02724505069780514,1.228112
Jiří Sobotka,-0.017763091239892115,1.2277021
Blanka Jankovská,0.03197469644075335,1.2271975
Libor Kostinec,-0.014756943486492091,1.2265222
Tomáš Koutný,0.00384647312139913,1.2264289
Luky Osadnik,-0.017967023918950442,1.2260331
Richard Horak,-0.012656815404729904,1.2259985
Miroslav Vidlák,-0.027848035974166574,1.2259963
Josef Prášil,-0.0659067762169715,1.2259896
Jitka Janoušková,-0.046345015376766385,1.2258526
Pavel Muz,0.008551089861083216,1.2256773
Jindra Macek,-0.023375509307748954,1.2254982
Dana Vávrová,-0.033626778975842375,1.225445
Radek Svačina,-0.06436794430596038,1.2253665
Honza Šimek,-0.04348766438750751,1.2252722
Jerry Zamazal,-0.005335743359693779,1.2248422
Jan Klas,0.10332417861227605,1.2247471
Milos Svoboda,-0.026625134565675168,1.2243322
Michal Galásek,-0.01845407845383601,1.2243305
František Staněk,-0.008785924108784926,1.2241466
Artur Bohdan,0.06721904669297041,1.2240937
Leoš Linka,-0.025413890838305253,1.2239684
Vladimír Jurtík,-0.0014422292235999334,1.2238901
Jiří Pádivý,0.02396598807120398,1.2238617
Arnika Jelínková,-0.0004633375466745471,1.2234956
Jan Herout,-0.0017658649652055325,1.2233765
Jaroslav Hanuš,0.04987099673154549,1.2233008
Jana Curidlova,-0.03140605381493822,1.2232738
Jan Benek,0.014964378161481606,1.223127
František Nevečeřal,-0.04689973373844464,1.2231055
Milan Pažout,-0.05364183787816301,1.2229942
Dominik Roček,-0.016796658061093206,1.2227254
Jiří Pořízek,0.04284347418272949,1.2224138
Monika Rališová,-0.05307428755868432,1.2218163
Václav Vaněk,-0.050749760258235355,1.2211065
Jaroslav Mazáč,-0.049321373434623506,1.2209729
Daniel Soumar,-0.013565365261997031,1.2209715
Miloš Breck,0.04257496744239897,1.2208736
Jiri Zahajsky,-0.04591866904087755,1.2207377
Oto Řepík,-0.03325955389131324,1.2206228
Tomáš Kaiser,-0.002832685120280787,1.2204261
Ivana Fialová,-0.04731748863312352,1.2203323
Josef Nekola,-0.04776695339913967,1.2203314
Lumir Biskup,-0.06322998607076663,1.2201909
Jiri Svihalek,-0.04959044333700502,1.219786
Čestmír Berka,0.06675422150563581,1.2196738
Ondřej Hanuliak,-0.03893187274096388,1.2190815
Václav Šrámek,-0.021259300720699426,1.2188575
František Osvald,0.005358899996916411,1.2184618
Josef Havranek,-0.0525190107854106,1.2177202
Petr Harazin,-0.006107997721230218,1.2175579
Petr Hornik,-0.06708631766102191,1.2174754
Ivana Paryzkova,0.011001760680373618,1.2174752
Oto Baďuřík,0.008221790470674062,1.2174166
Monika Cebulová,0.05097645863833078,1.217376
Artur Rikan,-0.05937653084904215,1.2173522
Michal Bank,-0.026474010173041684,1.2172
Jiřina Chlebková,-0.03896695990030269,1.2170511
Tomáš Rodr,-0.048242348279228686,1.2170107
Jiří Herma,-0.021049339838729975,1.2169858
Milan Kolář,-0.040904158587502404,1.2169349
Ondra Svicka,-0.005134651301623661,1.2165902
Zdeněk Kulhánek,0.03290358621289724,1.2164788
Tonda Minařík,-0.0391475858135687,1.2163031
Jirina Majrichova,0.004882126800383579,1.2160695
Hana Burianková,0.017226413416992437,1.215804
Antonín Sova,-0.022930783915433073,1.2157582
Jan Jakabovic,-0.04385011764418406,1.2154033
Zdeněk Kuliha,-0.05682993418816212,1.2153611
Roman Blažej,-0.037441768640642636,1.2153183
Dana Polanecká,-0.049306239191535484,1.2152959
Augustin Šubrt,0.04688958887107386,1.215289
Josef Hruska,-0.016562290066786722,1.2151121
Krekac Petr,-0.04971751479128472,1.2150276
Ján Jacko,-0.02871179844964622,1.2149597
Jana Vojtová,-0.0206088806897205,1.2148921
Roman Král,-0.024856447058455022,1.2146966
Josef Špinar,0.06283521221376276,1.2146119
Jakub Hammerle,0.017685603667734917,1.2143043
Vítězslav Nedorostek,-0.03880134881323949,1.2142669
Miroslav Balatka,-0.046267076604691815,1.2140563
Pavel Halada,-0.017627864339660015,1.2139397
Dalibor Bárta,-0.026347104866644266,1.2135904
Rostiíslav Grebeň,-0.036007204348639965,1.2135799
Mario Veselsky,-0.0009199237731860599,1.2134465
Petr Otýpka,-0.032639283609186,1.2133296
Stolbova Eva,-0.02958212699968138,1.2132344
Jan Oščádal,-0.05638067292433324,1.2130291
Cit Petr,-0.021085951449535123,1.2130072
Antonin Křapka,0.05914334070020644,1.2125019
Jan Loubal,-0.020924510342458902,1.2124125
Miloslav,-0.03981147511793226,1.2123765
Ondřej Sudek,-0.05303594170878495,1.2116888
Roman Taufer,-0.03963715467392498,1.2112751
Alexandr Mareš,0.0026209310437040334,1.2107017
Musil Jiri,-0.025622791902394304,1.2102151
Adam Husták,-0.03235868879083903,1.2101371
Miloslav Zavřel,-0.01546845513293632,1.2100768
Pavol Batka,-0.033974913200144397,1.2100302
Olda Marku,0.02189255477039309,1.2097656
Ondřej Doležal,-0.021175615873766707,1.2095509
Radim Malina,-0.051862433213853254,1.2088345
Milan Forejt,0.04350895171232283,1.2087377
Martin Dejl,0.02386275930753523,1.2086563
Lukas Kovacik,-0.014857085900804812,1.2086525
František Timan,-0.05085031445516275,1.208349
Petr Vastl,-0.0035934461324557687,1.2082578
František Rasam,-0.038577053483119184,1.2081915
Vladimír Mrkva,0.09590990662738452,1.2072333
Radek Brož,-0.04279045312191482,1.2071557
Ivo Zoul,-0.05723346086769843,1.2068737
Švrček Zdeněk,0.01337074920797432,1.2068031
Zdeněk Řezáč,0.0016752887783632597,1.2067145
Milan Sindler,-0.028981534870772152,1.2064756
Karel Málek,-0.05524844837885373,1.2062881
Pavel Maleček,0.01049118790496728,1.2062689
Jiří Noverský,-0.027416515542378617,1.2062587
Miroslav Štofko,-0.01289195820577671,1.2062333
Michal Šnaidr,0.02081535560802794,1.2061535
Jonatán Miazga,0.05326740708494626,1.2061193
Pavel Makyta,-0.035505463613942356,1.2059717
Gabriela Kaplanová,0.015389415923905136,1.2057445
Franta Stropek,-0.009947477430496066,1.2055752
Karel Pastor,-0.017302315574061533,1.2053938
Ján Kocan,-0.023318683656573524,1.2051535
Michal Prielozny,-0.054580770455494365,1.2049333
Karel Cernín,0.07830058867003709,1.2048215
Petr Přecechtěl,-0.01855375904044876,1.2048018
Miloslav Michalík,0.02348389263369588,1.2047813
Frantisek Ryza,0.04205374720217825,1.2046053
Pavel Benda,-0.03811020043038549,1.2044803
Václav Sabáček,-0.044738140059332854,1.2040236
Pavel Navratil,0.023676830605054766,1.2035644
Josef Cumba,0.025550912156262817,1.203347
Jarmila Pšeničková,0.06041434093838416,1.2031639
Jan Šmída,-0.053375861470790764,1.2031198
Antonín Grenar,-0.038592518145313615,1.2030733
Josef Košíček,-0.013361632674035728,1.2030562
Jiří Bubeníček,-0.028667141417368203,1.2029707
Bohuslav Homolka,-0.06993412439531355,1.2028358
Denis Novický,-0.0043260892072456425,1.20277
Petr Valouch,-0.03752962988885056,1.2026806
Marek Cvak,0.030749124393130822,1.202524
Jan Hübschmann,-0.025260670074952196,1.2021849
Honza Heczko,-0.06967877970750569,1.2020371
Martin Koláček,-0.05319083859594537,1.2016222
Miroslav Trtek,-0.05571400665912796,1.2014577
Josef Hazucha,-0.0636034223661674,1.2011935
Zdeněk Procházka,0.04044691865515837,1.2011197
Alena Unzeitigová,0.07715348394168264,1.2010901
Franta Rámus,0.02000980807052105,1.2010683
Petr Novák,-0.08244254290315545,1.2009866
Martina Nová,-0.05769684068122383,1.2009451
Jarmila Hejlová,-0.05373866434714436,1.2008957
František Greiff,-0.04834909010349503,1.2007986
Otta Čermák,-0.038293851209135366,1.2004125
Lukáš Havlát,-0.06370724804889438,1.2001854
Jana Nehudková,-0.01760102951868081,1.2001779
Milan Švenger,-0.06209724398190214,1.2000496
Dana Zelková,0.08945080608323597,1.1999813
René Herman,0.010985311504129736,1.1999214
Milan Ryšavý,-0.0368914075434022,1.1997763
Radek Keprt,-0.046252161330241015,1.1996439
Karel Varmuža,-0.06602065296278498,1.1996354
